job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,days_ago,salary_numeric
data scientist,lead,on-site,company_412,"Minneapolis, MN",a month ago,"Minneapolis, MN, US",Finance,Private,"1,320",Private,"€112,348 - €168,609","['pytorch', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']",,140478.5
data scientist,senior,hybrid,company_500,"Bucharest, Bucharest, Romania . Vilnius, Vilniaus, Lithuania . Estonia . Bulgaria . Poland + 11 More . Hybrid",2 months ago,"Miami, FL, US",Technology,Private,75,Private,"€5,939 - €8,222","['aws', 'database', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",2,7080.5
data scientist,senior,remote,company_587,United States . Fully Remote,14 days ago,"Rockville, MD, US",Healthcare,Private,490,Private,"€91,336 - €109,602","['pandas', 'numpy', 'aws', 'git', 'scikit-learn', 'python', 'sql', 'gcp', 'database', 'machine learning']",14,100469
machine learning engineer,senior,remote,company_589,Fully Remote,a month ago,"Chicago, IL, US",Technology,Public,990,Public,"€197,190 - €236,660",[],,216925
data scientist,senior,hybrid,company_590,"San Francisco, California, United States . San Francisco, California, USA . Hybrid",a month ago,"Pittsburgh, PA, US",Healthcare,Private,45,Private,"€159,834 - €205,500",[],,182667
data scientist,senior,hybrid,company_591,"Chicago, IL . إلينوي شيكاغو الولايات المتحدة . Hybrid",2 months ago,"Chicago, IL, US",Healthcare,Private,420,Private,"€95,901 - €123,301","['sql', 'machine learning', 'scikit-learn', 'python']",2,109601
data scientist,senior,hybrid,company_145,"Austin, Texas . Hybrid",a day ago,"San Jose, CA, US",Technology,Public,"2,760",Public,"€200,937",[],,200937
data scientist,senior,on-site,company_596,"San Diego, CA",a month ago,"San Diego, CA, US",Healthcare,Public,"4,040",Public,"€129,513 - €215,914","['r', 'python', 'scala', 'sql', 'gcp']",,172713.5
data scientist,lead,Unknown,company_598,Salt Lake City Metropolitan Area,7 days ago,"Salt Lake City, UT, US",Education,Unknown,"9,030",Education,"€182,667","['sql', 'machine learning', 'python']",7,182667
data scientist,midlevel,Unknown,company_601,"Pune, Maharashtra, India",7 days ago,"London, GB",Finance,Public,"205,350",Public,"€30,455","['scikit-learn', 'python', 'sql', 'database', 'machine learning']",7,30455
data scientist,junior,Unknown,company_603,"Queenstown, Central Singapore Community Development Council, Singapore",3 months ago,"Singapore, SG",Education,Unknown,210,Education,"€54,802","['tableau', 'r', 'python']",3,54802
data scientist,midlevel,remote,company_472,"Brookfield, WI . Fully Remote",7 days ago,"Seattle, WA, US",Healthcare,Private,"3,810",Private,"€59,552 - €138,317","['aws', 'r', 'python', 'sql', 'machine learning']",7,98934.5
data scientist,senior,hybrid,company_607,"Yonkers, New York, United States . Hybrid",17 hours ago,"Yonkers, NY, US",Healthcare,Private,683,Private,"€120,568 - €134,268",[],17,127418
data scientist,senior,hybrid,company_608,"Berlin, Berlin, Germany . Hybrid",a month ago,"Berlin, DE",Technology,Private,"8,350",Private,"€86,270 - €119,421","['scala', 'spark', 'machine learning', 'python']",,102845.5
data scientist,lead,hybrid,company_609,"Golden Valley, MN . Austin, TX . Hybrid",7 days ago,"Austin, TX, US",Technology,Public,"4,770",Public,"€119,819 - €178,753","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'keras', 'azure', 'tensorflow']",7,149286
data scientist,senior,hybrid,company_610,"Chicago, IL . Hybrid",5 days ago,"Chicago, IL, US",Technology,Private,"51,270",Private,"€83,821","['git', 'r', 'python', 'sql', 'machine learning', 'deep learning']",5,83821
data scientist,senior,remote,company_611,Fully Remote,22 days ago,"Denver, CO, US",Technology,Public,"2,540",Public,"€137,006 - €200,939",[],22,168972.5
data scientist,senior,Unknown,company_614,Ukraine,14 days ago,"Austin, TX, US",Technology,Private,"10,270",Private,"€65,768","['amazon', 'pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']",14,65768
